manip;HE;conc_mg_L;DO
manip 0506;M11;0,4025;0,2245
manip 0506;M11;0,4025;0,2915
manip 0506;M11;0,4025;
manip 0506;M11;0,4025;
manip 0506;M11;0,805;
manip 0506;M11;0,805;0,245
manip 0506;M11;0,805;0,186
manip 0506;M11;0,805;
manip 0506;M11;1,61;0,2185
manip 0506;M11;1,61;
manip 0506;M11;1,61;0,1985
manip 0506;M11;1,61;0,2435
manip 0506;M11;3,22;0,181
manip 0506;M11;3,22;0,238
manip 0506;M11;3,22;0,185
manip 0506;M11;3,22;0,298
manip 0506;M11;6,44;0,1925
manip 0506;M11;6,44;0,2095
manip 0506;M11;6,44;0,2285
manip 0506;M11;6,44;0,1935
manip 0506;M11;12,88;
manip 0506;M11;12,88;0,1385
manip 0506;M11;12,88;0,2055
manip 0506;M11;12,88;0,2225
manip 0506;M11;25,75;0,0835
manip 0506;M11;25,75;0,0855
manip 0506;M11;25,75;0,1085
manip 0506;M11;25,75;0,1055
manip 0506;M11;51,5;
manip 0506;M11;51,5;0,013
manip 0506;M11;51,5;
manip 0506;M11;51,5;0,015
manip 0506;M11;103;0,005
manip 0506;M11;103;0,005
manip 0506;M11;103;0,014
manip 0506;M11;103;0,007
manip 0506;M11;206;0,0005
manip 0506;M11;206;-0,0065
manip 0506;M11;206;-0,0035
manip 0506;M11;206;-0,0005
manip 0506;M11;412;-0,0045
manip 0506;M11;412;-0,0115
manip 0506;M11;412;0,0125
manip 0506;M11;412;0,0065
manip 0506;Cu;0;0,3005
manip 0506;Cu;0;0,3365
manip 0506;Cu;0;0,3955
manip 0506;Cu;0;0,3475
manip 0506;Cu;1;0,339
manip 0506;Cu;1;0,287
manip 0506;Cu;1;0,32
manip 0506;Cu;1;0,331
manip 0506;Cu;2;0,283
manip 0506;Cu;2;0,316
manip 0506;Cu;2;0,274
manip 0506;Cu;2;0,297
manip 0506;Cu;4;0,299
manip 0506;Cu;4;
manip 0506;Cu;4;0,294
manip 0506;Cu;4;0,287
manip 0506;Cu;8;0,288
manip 0506;Cu;8;
manip 0506;Cu;8;0,287
manip 0506;Cu;8;0,308
manip 0506;Cu;16;0,277
manip 0506;Cu;16;0,284
manip 0506;Cu;16;0,267
manip 0506;Cu;16;0,276
manip 0506;Cu;31;
manip 0506;Cu;31;0,2805
manip 0506;Cu;31;0,2885
manip 0506;Cu;31;0,3155
manip 0506;Cu;63;
manip 0506;Cu;63;0,2365
manip 0506;Cu;63;0,2205
manip 0506;Cu;63;
manip 0506;Cu;125;0,252
manip 0506;Cu;125;0,24
manip 0506;Cu;125;0,257
manip 0506;Cu;125;0,177
manip 0506;Cu;250;0,1975
manip 0506;Cu;250;0,1545
manip 0506;Cu;250;0,1235
manip 0506;Cu;250;0,0945
manip 0506;Cu;500;0,0235
manip 0506;Cu;500;0,0135
manip 0506;Cu;500;0,0185
manip 0506;Cu;500;0,0145
manip 0506;Cu;1000;0,0065
manip 0506;Cu;1000;0,0085
manip 0506;Cu;1000;0,0045
manip 0506;Cu;1000;0,0075
manip 0517;M6 ;0;0,2605
manip 0517;M6 ;0;0,2195
manip 0517;M6 ;0;0,2695
manip 0517;M6 ;0;0,2705
manip 0517;M6 ;0,4225;0,2465
manip 0517;M6 ;0,4225;0,2775
manip 0517;M6 ;0,4225;0,2735
manip 0517;M6 ;0,4225;0,2655
manip 0517;M6 ;0,845;0,2965
manip 0517;M6 ;0,845;0,2885
manip 0517;M6 ;0,845;0,2645
manip 0517;M6 ;0,845;0,2385
manip 0517;M6 ;1,69;0,297
manip 0517;M6 ;1,69;0,31
manip 0517;M6 ;1,69;0,281
manip 0517;M6 ;1,69;0,259
manip 0517;M6 ;3,38;0,247
manip 0517;M6 ;3,38;0,258
manip 0517;M6 ;3,38;0,282
manip 0517;M6 ;3,38;0,266
